word,meaning,sentence,translation
benefit,～に恩恵を与える,The program benefits children.,その計画は子どもたちに恩恵を与えます。
welfare,福祉,The government supports welfare.,政府は福祉を支援しています。
welfare,（健康なども含めた）幸福,Public welfare is important.,公共の幸福は重要です。
welfare,生活保護,He receives welfare.,彼は生活保護を受けています。
community,（地域）社会，共同体（の人々）<可算>,The community helped each other.,地域社会の人々は助け合いました。
individual,個人，個体,Each individual is different.,それぞれの個人は異なります。
individual,個人の，個々の,Individual opinions matter.,個人の意見は重要です。
official,役人，役員,The official explained the rule.,役人は規則を説明しました。
official,公式の,This is an official announcement.,これは公式発表です。
immigrant,（外国からの）移民,The city has many immigrants.,その都市には多くの移民がいます。
volunteer,ボランティア,She is a volunteer at the hospital.,彼女は病院のボランティアです。
volunteer,（to do）（～することを）自発的に申し出る,He volunteered to help us.,彼は私たちを助けると申し出ました。
interact,（with～）（～と）交流する、相互作用する,Students interact with each other.,生徒たちは互いに交流します。
contribute,（to ～）,Everyone contributed to the project.,全員がその計画に貢献しました。
contribute,（～に）貢献する,She contributed to science.,彼女は科学に貢献しました。
contribute,（～の）一因となる,Stress contributes to illness.,ストレスは病気の一因になります。
contribute,（A to B）（A）を（B に）寄付する，提供する,He contributed money to the school.,彼は学校にお金を寄付しました。
abolish,～を廃止する,They abolished the old law.,彼らは古い法律を廃止しました。
impose,（A on B）（A）を（B に）課す，押しつける,The government imposed a tax on people.,政府は人々に税を課しました。
access,利用する権利,Students have access to the library.,学生は図書館を利用する権利があります。
access,（場所への）接近方法,This road gives access to the town.,この道は町への接近方法を提供します。
duty,義務,It is your duty to help others.,他人を助けることはあなたの義務です。
duty,関税,The goods have a high duty.,その商品には高い関税があります。
responsible,（人が主語）責任がある,He is responsible for the project.,彼はその計画に責任があります。
responsible,（物が主語）原因となっている,Smoking is responsible for the disease.,喫煙がその病気の原因です。
policy,政策,The government changed its policy.,政府は政策を変更しました。
policy,方針,Our company policy is clear.,会社の方針は明確です。
policy,保険契約，約款,I read the insurance policy.,私は保険契約を読みました。
elect,～を（選挙で）選ぶ,People elected a new leader.,人々は新しい指導者を選びました。
industry,工業,The country developed its industry.,その国は工業を発展させました。
industry,（the ～ industry）産業，業界,The tourism industry is growing.,観光産業は成長しています。
industry,勤勉,His industry led to success.,彼の勤勉さが成功につながりました。
income,収入,His income increased this year.,彼の収入は今年増えました。
profit,利益，利潤,The company made a profit.,その会社は利益を得ました。
tax,税金（〈米〉→〈可算〉 〈英〉→〈不可算〉）,People have to pay tax.,人々は税金を払わなければなりません。
expense,費用，経費,Travel expenses are high.,旅行費用は高いです。
expense,（at the ― of ～）（～を）犠牲（にして）,He succeeded at the expense of his health.,彼は健康を犠牲にして成功しました。
debt,借金,He has a lot of debt.,彼には多くの借金があります。
deposit,預金,I made a deposit at the bank.,私は銀行に預金しました。
deposit,頭金，保証金,We paid a deposit for the apartment.,私たちはアパートの保証金を払いました。
deposit,埋蔵物 、堆積物,The area has mineral deposits.,その地域には鉱床があります。
deposit,～を預ける,She deposited money in her account.,彼女は口座にお金を預けました。
charge,料金,There is no extra charge.,追加料金はありません。
charge,（主にin ―）責任，管理,He is in charge of the team.,彼はチームを管理しています。
charge,（against ～）（～に対する）非難，告訴,The charges against him were serious.,彼への告訴は深刻でした。
charge,～を請求する,They charged me $10.,彼らは私に10ドル請求しました。
charge,～を告訴する ⑥～を充電する,I charged my phone.,私は携帯電話を充電しました。
wage,賃金<可算>,The workers receive good wages.,労働者は良い賃金を受け取ります。
wage,（闘争，運動など）を行う,They waged a campaign.,彼らは運動を行いました。
recession,不況，不景気,The country is in a recession.,その国は不況です。
consume,～を消費する,People consume a lot of energy.,人々は多くのエネルギーを消費します。
waste,～を浪費する,Don't waste your time.,時間を無駄にしないでください。
waste,浪費，無駄,Food waste is a problem.,食品廃棄は問題です。
waste,廃棄物〈不可算〉,We need to reduce waste.,私たちは廃棄物を減らす必要があります。
invest,（A in B）（A）を（B に）投資する,He invested money in the company.,彼は会社にお金を投資しました。
invest,（A with B）（A）に（B を）与える,The law invests citizens with rights.,その法律は市民に権利を与えます。
import,～を輸入する,Japan imports oil.,日本は石油を輸入します。
import,輸入，輸入品,Imports increased this year.,輸入品は今年増えました。
financial,財政的な，金銭的な,He has financial problems.,彼には金銭的な問題があります。
hire,～を（一時的に）雇う,They hired a driver.,彼らは運転手を雇いました。
hire,（金を払って短期間）～を借りる,We hired a car.,私たちは車を借りました。
employ,（人）を雇う,The company employs many people.,その会社は多くの人を雇っています。
employ,（物，事）を用いる,We employ new methods.,私たちは新しい方法を用います。
resign,（as ～）（～を）辞職する,He resigned as manager.,彼は管理職を辞めました。
resign,（地位など）を辞める,She resigned her position.,彼女は地位を辞めました。
qualify,（for ～）（～の）資格がある,She qualifies for the job.,彼女はその仕事の資格があります。
qualify,（as ～）（～としての）資格を得る,He qualified as a doctor.,彼は医師の資格を得ました。
qualify,～に資格を与える,The course qualifies students for jobs.,その講座は学生に仕事の資格を与えます。
assign,～を割り当てる,The teacher assigned homework.,先生は宿題を割り当てました。
assign,～を配属する,He was assigned to the new team.,彼は新しいチームに配属されました。
occupation,職業〈可算〉,What is your occupation?,あなたの職業は何ですか。
occupation,占有，占領〈不可算〉,The occupation lasted many years.,その占領は何年も続きました。
career,職業,She chose a career in medicine.,彼女は医療の職業を選びました。
career,経歴,He has a long career.,彼には長い経歴があります。
profession,（専門的な）職業,Teaching is a respected profession.,教師は尊敬される職業です。
profession,（the ―）同業者集団,The profession has strict rules.,その職業団体には厳しい規則があります。
unemployment,失業,Unemployment is increasing.,失業が増えています。
unemployment,失業率（＝― rate），失業者数,The unemployment rate fell.,失業率は下がりました。
document,書類，資料,Please read the document.,その書類を読んでください。
document,～を記録する,The event was documented.,その出来事は記録されました。
department,（組織の）部門，課,She works in the sales department.,彼女は営業部で働いています。
department,（大学の）学科,He studies in the history department.,彼は歴史学科で学んでいます。
department,（米国などの）省,The Department of Education announced it.,教育省が発表しました。
branch,支店，支局,I work at the Tokyo branch.,私は東京支店で働いています。
branch,（学問の）部門,Physics is a branch of science.,物理学は科学の一分野です。
branch,枝,A bird sat on a branch.,鳥が枝に止まりました。
retail,小売り〈不可算〉,She works in retail.,彼女は小売業で働いています。
retail,小売りされている,The product is available at retail stores.,その商品は小売店で販売されています。
colleague,（from ～）（～の）同僚,My colleague helped me.,私の同僚が助けてくれました。
system,制度，組織,The education system changed.,教育制度が変わりました。
system,体系,The system is well organized.,その体系はよく整理されています。
structure,構造,The structure is strong.,その構造は強いです。
architecture,建築（様式）〈不可算〉,I study architecture.,私は建築を学んでいます。
construction,建設〈不可算〉,Construction has started.,建設が始まりました。
function,機能,This function is useful.,この機能は便利です。
function,機能する,The machine functions well.,その機械はよく機能します。
surface,表面<可算>,The surface is smooth.,表面は滑らかです。
surface,表面化する,The problem surfaced later.,問題は後で表面化しました。
aspect,側面<可算>,We discussed every aspect.,私たちはあらゆる側面を話し合いました。
edge,端,He sat at the edge of the table.,彼は机の端に座りました。
edge,（ナイフなどの）刃,The knife has a sharp edge.,そのナイフは鋭い刃があります。
edge,優位,Our team has an edge.,私たちのチームは優位にあります。
makeup,（物の）構成、構造,The makeup of the group changed.,集団の構成が変わりました。
makeup,（人の）資質,Her makeup is unique.,彼女の資質は独特です。
makeup,化粧,She wears makeup.,彼女は化粧をしています。
makeup,（― exam）追試験,I took a makeup exam.,私は追試験を受けました。
consist,（of ～）（～で）構成されている,The team consists of five members.,そのチームは5人で構成されています。
consist,（in ～）（～に）ある,Happiness consists in simple things.,幸福は簡単なことの中にあります。
compose,～を構成する，組み立てる,Water is composed of hydrogen and oxygen.,水は水素と酸素で構成されています。
compose,～を作曲［作文］する,He composed a song.,彼は曲を作りました。
compose,～を落ち着かせる,She composed herself before speaking.,彼女は話す前に落ち着きました。
attach,～をくっつける，添付する,Please attach the file.,ファイルを添付してください。
attach,～に愛着を持たせる,The place attached me to its culture.,その場所は私を文化に愛着を持たせました。
connect,～をつなげる,Connect the cable.,ケーブルをつないでください。
connect,～を関連づける,People connect success with money.,人々は成功をお金と関連づけます。
connect,つながる,The roads connect here.,道路はここでつながっています。
relate,（A to B）（A）を（B に）関連づける,I relate this story to my life.,私はこの話を自分の人生と関連づけます。
relate,～を（順序立てて）話す,He related his experience.,彼は経験を話しました。
relate,（to ～）（～に）理解を示す,I can relate to her feelings.,私は彼女の気持ちを理解できます。
associate,（A with B）（A）を（B と）関連づける，（A）から（B を）連想する,I associate winter with snow.,私は冬から雪を連想します。
associate,（with ～)（～と）付き合う,He associates with famous people.,彼は有名人と付き合っています。
associate,同僚，共同経営者,He is my business associate.,彼は私の仕事仲間です。
stick,～を貼り付ける,Stick the label here.,ここにラベルを貼ってください。
stick,（舌や脚）を出す,The child stuck out his tongue.,子どもは舌を出しました。
stick,（to）（主義などを）守る，固執する,Stick to your plan.,計画を守りなさい。
thief,泥棒,The thief was caught.,泥棒は捕まりました。
crime,犯罪,Crime is increasing.,犯罪が増えています。
motive,動機,The police found his motive.,警察は彼の動機を見つけました。
punish,（（人）for ～）（人）を（～の理由で）罰する,The teacher punished him for cheating.,先生はカンニングで彼を罰しました。
violate,（法律など）に違反する,He violated the law.,彼は法律に違反しました。
violate,（権利など）を侵害する,They violated human rights.,彼らは人権を侵害しました。
legal,合法の,This action is legal.,この行為は合法です。
legal,法律の，法的な,He needs legal advice.,彼には法的助言が必要です。
enemy,敵<可算>,I defeated my enemy in the game.,私はゲームで敵を倒した。
enemy,（形容詞的に）敵の,The enemy forces attacked the city.,敵軍はその都市を攻撃した。
conflict,対立，紛争,The two countries are in conflict.,その2国は対立している。
conflict,葛藤,She has an inner conflict.,彼女は心の葛藤を抱えている。
conflict,（with ～）（～と）矛盾する,His words conflict with his actions.,彼の言葉は行動と矛盾している。
compete,競争する,Many athletes compete in the race.,多くの選手がその競走で競う。
compete,（in ～）（競技などに）参加する,She competed in the tournament.,彼女は大会に参加した。
defeat,（相手）を打ち負かす,Our team defeated the champion.,私たちのチームは優勝者を打ち負かした。
defeat,敗北,The defeat was a big surprise.,その敗北は大きな驚きだった。
victim,犠牲者,The victim was saved by doctors.,犠牲者は医師に救われた。
obstacle,（to ～）（～に対する）障害〈可算〉,Lack of money is an obstacle to success.,お金不足は成功への障害だ。
harm,害〈不可算〉,Smoking causes harm to health.,喫煙は健康に害を与える。
harm,～に害を与える,The chemicals harm the environment.,その化学物質は環境に害を与える。
invade,（プライバシーなど）を侵害する,They invaded my privacy.,彼らは私のプライバシーを侵害した。
invade,（国など）に侵入する，～を侵略する,The army invaded the country.,軍はその国を侵略した。
endanger,～を危険にさらす,Pollution endangers animals.,汚染は動物を危険にさらす。
interrupt,～を中断する,The noise interrupted my study.,騒音が私の勉強を中断した。
interrupt,～を遮る,Please don't interrupt me.,私の話を遮らないでください。
interrupt,人の話を遮る,He interrupted the speaker.,彼は話し手の話を遮った。
spoil,～を台無しにする,The rain spoiled our trip.,雨で旅行が台無しになった。
spoil,（子ども）を甘やかす,She spoils her children.,彼女は子どもを甘やかす。
spectator,観客〈可算〉,The spectators cheered loudly.,観客は大声で応援した。
relative,（家族も含めて）親戚,My relatives live abroad.,私の親戚は海外に住んでいる。
relative,相対的な,The value is relative.,その価値は相対的だ。
departure,出発,Our departure is at noon.,私たちの出発は正午です。
departure,逸脱,His behavior was a departure from the rule.,彼の行動は規則からの逸脱だった。
destination,目的地,We reached our destination safely.,私たちは安全に目的地へ着いた。
destination,（tourist ―）観光地，旅行先,This island is a popular tourist destination.,この島は人気の観光地だ。
transportation,交通機関〈不可算>,Public transportation is useful.,公共交通機関は便利だ。
vehicle,（エンジンの付いた）車両,The vehicle stopped suddenly.,その車両は突然止まった。
vehicle,（思想，意見の）伝達手段,Language is a vehicle for ideas.,言語は考えを伝える手段だ。
baggage,（旅行時の）手荷物<不可算>,My baggage is heavy.,私の手荷物は重い。
via,～経由で,We traveled via Tokyo.,私たちは東京経由で旅行した。
via,～によって,I sent it via email.,私はメールでそれを送った。
lead,（to ～）（～に）至る,This road leads to the station.,この道は駅へ続いている。
lead,（a ～ life）（～な生活）を送る,He leads a happy life.,彼は幸せな生活を送っている。
lead,（A to do）A に～させる,The teacher led students to think.,先生は生徒に考えさせた。
lead,鉛，（シャーペンなどの）芯,The pencil lead broke.,鉛筆の芯が折れた。
rise,上がる，昇る,The sun rises in the east.,太陽は東から昇る。
rise,上昇,There was a rise in prices.,価格の上昇があった。
flow,流れる,The river flows slowly.,川はゆっくり流れる。
flow,流れ,The flow of water is strong.,水の流れは強い。
burst,破裂する，爆発する,The balloon burst suddenly.,風船は突然破裂した。
burst,突然～し始める,She burst into tears.,彼女は突然泣き出した。
melt,（固体が）溶ける,Ice melts in the sun.,氷は太陽の下で溶ける。
melt,～を溶かす,Heat melts butter.,熱はバターを溶かす。
commute,通勤する,I commute by train.,私は電車で通勤する。
commute,通勤（距離）,My commute takes an hour.,私の通勤時間は1時間かかる。
accompany,（人が主語）～と一緒に行く,I accompanied my friend home.,私は友達と一緒に帰った。
accompany,（物が主語）～に伴う,Success is often accompanied by risks.,成功にはしばしば危険が伴う。
emit,（ガス、熱、光など）を排出する,Cars emit harmful gases.,車は有害なガスを排出する。
progress,進歩，前進〈不可算〉,Science makes progress every year.,科学は毎年進歩する。
progress,進歩する，進む,The project is progressing well.,計画は順調に進んでいる。
advance,進歩，前進〈可算〉,Technology has made great advances.,技術は大きな進歩を遂げた。
advance,（軍隊などが）前進する，進歩する,The army advanced quickly.,軍は素早く前進した。
advance,事前の,Advance notice is required.,事前通知が必要です。
deal,（with～）（～を）扱う,She deals with problems calmly.,彼女は問題を冷静に扱う。
deal,取り引き,It was a good deal.,それは良い取り引きだった。
handle,～を扱う,He can handle the machine.,彼はその機械を扱える。
handle,（手で）～を扱う，触れる,Please handle it carefully.,それを注意して扱ってください。
handle,取っ手,The door handle is broken.,ドアの取っ手が壊れている。
treat,（副詞を伴って）～を扱う,He treats everyone kindly.,彼は皆を親切に扱う。
treat,（病人，病気）を治療する,Doctors treated the patient.,医師は患者を治療した。
treat,（A to B)（A)に（Bを）おごる,I treated my friend to dinner.,私は友達に夕食をおごった。
treat,楽しみ,The cake was a special treat.,そのケーキは特別な楽しみだった。
clue,（to ～）（～の）手がかり,The clue helped us solve the mystery.,その手がかりは謎解きに役立った。
restrict,～を制限する,The law restricts smoking.,その法律は喫煙を制限する。
limit,（数量，範囲）を制限する,We need to limit costs.,費用を制限する必要がある。
limit,制限,There is a speed limit.,制限速度がある。
forbid,～を禁じる,The sign forbids parking.,その標識は駐車を禁じている。
ban,禁止〈可算〉,There is a ban on smoking here.,ここでは喫煙禁止だ。
ban,～を禁止する,They banned the product.,彼らはその製品を禁止した。
refuse,（to do）～するのを拒む,He refused to answer.,彼は答えるのを拒んだ。
refuse,～を断る,She refused my offer.,彼女は私の申し出を断った。
reject,～を拒絶する,They rejected the proposal.,彼らは提案を拒絶した。
reject,（人）を拒む、除け者にする,Nobody should reject others.,誰も他人を拒むべきではない。
persuade,（A to do）（A）を説得して～させる,I persuaded him to go.,私は彼を説得して行かせた。
convince,（A of B）（A）に（Bを）確信させる,She convinced me of the truth.,彼女は私に真実を確信させた。
convince,（A to do）（A）を説得して～させる,He convinced her to join.,彼は彼女を説得して参加させた。
inspire,～を奮起させる，かき立てる,The story inspired me.,その話は私を奮起させた。
inspire,（作品）に創作のヒントを与える,Nature inspired the artist.,自然がその芸術家の創作のヒントになった。
discourage,～のやる気をなくさせる，落胆させる,Failure discouraged him.,失敗は彼を落胆させた。
promote,～を促進する,The campaign promotes health.,その運動は健康を促進する。
promote,（be［get］―d to ～）（～に）出世［昇進］する,She was promoted to manager.,彼女は管理職に昇進した。
boost,～を促進させる，増大させる,The news boosted sales.,そのニュースは売上を増大させた。
expand,拡大する，膨張する,The company expanded rapidly.,会社は急速に拡大した。
expand,～を拡大する，膨張させる,They expanded the business.,彼らは事業を拡大した。
extend,～を延長する，広げる,We extended the deadline.,締切を延長した。
extend,伸びる，広がる,The road extends north.,道路は北へ伸びている。
broaden,～を広げる,Travel broadens your mind.,旅行は視野を広げる。
broaden,広がる,Her interests broadened.,彼女の興味は広がった。
spread,～を広げる,Spread the butter on bread.,パンにバターを広げてください。
spread,広がる,The fire spread quickly.,火は急速に広がった。
spread,広がり,The spread of disease is dangerous.,病気の広がりは危険だ。
tie,（荷物など）を縛る,Tie the box tightly.,箱をしっかり縛ってください。
tie,（ひも，ネクタイなど）を結ぶ,He tied his shoes.,彼は靴ひもを結んだ。
tie,ネクタイ（＝necktie),He wore a blue tie.,彼は青いネクタイを着けた。
tie,（家族などの）きずな,Family ties are important.,家族のきずなは大切だ。
fasten,～を固定する,Fasten your seat belt.,シートベルトを締めてください。
fasten,（ボタンなど）をかける，留める,She fastened her coat.,彼女はコートのボタンを留めた。
fix,～を固定する,I fixed the picture on the wall.,私は写真を壁に固定した。
fix,～を修理する,He fixed my broken bike.,彼は私の壊れた自転車を修理した。
fix,（主に〈米〉）（食事，飲み物）を作る,She fixed dinner for her family.,彼女は家族のために夕食を作った。
install,（機械など）を設置する,They installed a new machine.,彼らは新しい機械を設置した。
install,～をインストールする,I installed the app on my phone.,私はスマホにアプリをインストールした。
resist,～を我慢する,I couldn't resist the cake.,私はそのケーキを我慢できなかった。
resist,～に抵抗する,They resisted the enemy.,彼らは敵に抵抗した。
obey,～に従う,You should obey the rules.,あなたは規則に従うべきだ。
engage,（in ～）（活動に）従事する,He engaged in research.,彼は研究に従事した。
engage,（with ～）（理解のために、人や考えに）関与する,Students engage with new ideas.,生徒は新しい考えに関わる。
engage,（関心、注意など）を引く,The story engaged my attention.,その話は私の注意を引いた。
bump,（～に）ぶつかる,I bumped into a table.,私はテーブルにぶつかった。
bump,（～に）偶然出会う,I bumped into an old friend.,私は旧友に偶然会った。
bend,身をかがめる,He bent down to pick it up.,彼はそれを拾うために身をかがめた。
bend,～を曲げる,She bent the wire.,彼女は針金を曲げた。
bend,（道の）カーブ,There is a bend in the road.,道にカーブがある。
hug,（人）を（愛情こめて）抱きしめる,She hugged her child.,彼女は子どもを抱きしめた。
hug,抱擁,They shared a warm hug.,彼らは温かい抱擁を交わした。
stare,（at ～）（～を）じっと見つめる,Don't stare at people.,人をじっと見ないで。
stare,凝視,His stare was scary.,彼の凝視は怖かった。
gaze,（at［on］～）（～を）見つめる,She gazed at the stars.,彼女は星を見つめた。
gaze,視線，凝視,I felt his gaze.,私は彼の視線を感じた。
glance,ちらりと見る,He glanced at his watch.,彼は時計をちらりと見た。
glance,ちらりと見ること,She gave me a quick glance.,彼女は私をちらりと見た。
glimpse,～がちらりと見える,I glimpsed the mountains.,私は山がちらりと見えた。
glimpse,ちらりと見えること,I caught a glimpse of the bird.,私はその鳥をちらりと見た。
stretch,（手足や体）を伸ばす，広げる,I stretch every morning.,私は毎朝体を伸ばす。
stretch,伸びる，広がる,The road stretches for miles.,その道路は何マイルも続いている。
stretch,（ひと続きの）広がり,A long stretch of beach was empty.,長い砂浜の広がりは空いていた。
stumble,つまずく,She stumbled on the stairs.,彼女は階段でつまずいた。
stumble,（across［into］～）（～に）偶然出会う,I stumbled across an old book.,私は古い本を偶然見つけた。
press,～を（強く）押す,Press the button.,ボタンを押してください。
press,～を押しつける，勧める,They pressed him to decide.,彼らは彼に決めるよう迫った。
press,（the ―）報道機関，出版,The press reported the news.,報道機関はそのニュースを報じた。
drag,～を（ずるずると）引きずる,He dragged the box across the floor.,彼は箱を床の上で引きずった。
lean,（against［on］～）（～に）寄りかかる,He leaned against the wall.,彼は壁にもたれた。
lean,（forward）身を乗り出す,She leaned forward to listen.,彼女は聞くために身を乗り出した。
lean,（健康的に）痩せている,He has a lean body.,彼は引き締まった体をしている。
scratch,～をひっかく，かく,The cat scratched my hand.,猫が私の手をひっかいた。
scratch,ひっかき傷,I have a scratch on my arm.,腕にひっかき傷がある。
bow,おじぎする,They bowed to the audience.,彼らは観客におじぎした。
bow,おじぎ,She gave a polite bow.,彼女は丁寧なおじぎをした。
nod,うなずく,He nodded in agreement.,彼は同意してうなずいた。
nod,（off）うたた寝する,I nodded off during the movie.,私は映画中にうたた寝した。
nod,うなずき，会釈,She gave a small nod.,彼女は小さくうなずいた。
sigh,ため息をつく,He sighed deeply.,彼は深くため息をついた。
sigh,ため息,She let out a sigh.,彼女はため息をついた。
yawn,あくびをする,I yawned because I was tired.,疲れていたのであくびをした。
yawn,あくび,He covered his yawn.,彼はあくびを隠した。
sneeze,くしゃみをする,I sneezed several times.,私は何度もくしゃみをした。
bury,～を埋める,They buried the treasure.,彼らは宝を埋めた。
bury,～を埋葬する,They buried the dead soldier.,彼らは亡くなった兵士を埋葬した。
perform,～を遂行する,She performed her duty.,彼女は任務を遂行した。
perform,～を演じる，演奏する,He performed a song.,彼は歌を演奏した。
perform,（副詞を伴い）やる,The machine performs well.,その機械はうまく動く。
adopt,～を採用する,The company adopted a new plan.,会社は新しい計画を採用した。
adopt,～を養子にする、（動物など）を引き取る,They adopted a child.,彼らは子どもを養子にした。
escape,（from ～）（～から）逃れる,He escaped from prison.,彼は刑務所から逃げた。
escape,～を避ける,I escaped danger.,私は危険を避けた。
escape,逃亡,His escape was successful.,彼の逃亡は成功した。
scatter,～をまき散らす,The wind scattered the leaves.,風が葉をまき散らした。
scatter,（群衆などが）散る,The crowd scattered quickly.,群衆はすぐに散った。
fold,～を折る,Fold the paper in half.,紙を半分に折ってください。
fold,（up）～を折りたたむ,She folded up the blanket.,彼女は毛布を折りたたんだ。
fold,（腕）を組む,He folded his arms.,彼は腕を組んだ。
fold,折りたためる,The chair can fold easily.,その椅子は簡単に折りたためる。
hang,～を掛ける,Hang the picture here.,ここに絵を掛けて。
hang,～を絞首刑にする,The criminal was hanged.,犯罪者は絞首刑にされた。
hang,ぶら下がる,The lamp hangs from the ceiling.,ランプが天井からぶら下がっている。
release,～を解放する,They released the prisoner.,彼らは囚人を解放した。
release,（映画など）を発表する，出す,The movie was released last year.,その映画は昨年公開された。
release,（ガスなど）を放出する,Factories release gases.,工場はガスを放出する。
release,解放，発売,The release was announced.,発売が発表された。
strike,～を打つ,He struck the ball.,彼はボールを打った。
strike,（災害が）～を襲う,The storm struck the city.,嵐が都市を襲った。
strike,（考えが人）に思い浮かぶ,An idea struck me.,ある考えが私に浮かんだ。
strike,（A as B）（A）に（Bという）印象を与える,She struck me as kind.,彼女は私には親切な人という印象だった。
strike,ストライキ,Workers went on strike.,労働者はストライキをした。
beat,～を打つ,He beat the drum.,彼は太鼓を打った。
beat,～に勝つ,Our team beat theirs.,私たちのチームは彼らに勝った。
protect,～を守る，保護する,We must protect nature.,私たちは自然を守らなければならない。
twist,～を（ねじ）曲げる,Twist the cap to open it.,ふたをねじって開けてください。
twist,（体の一部）をひねる，捻挫する,I twisted my ankle.,足首をひねった。
skip,～をサボる，抜かす,Don't skip breakfast.,朝食を抜かないで。
expose,～をさらす,The plant was exposed to sunlight.,その植物は日光にさらされた。
expose,（秘密，犯罪など）を暴露する,The report exposed the truth.,その報告は真実を暴露した。
stir,（液体など）を混ぜる,Stir the soup well.,スープをよく混ぜて。
stir,（―up）（感情など）を呼び覚ます,The song stirred memories.,その歌は記憶を呼び覚ました。
shake,～を振る,Shake the bottle.,瓶を振ってください。
shake,～を揺さぶる,The news shook everyone.,そのニュースは皆を揺さぶった。
shake,（恐怖，寒さで）震える,She shook with fear.,彼女は恐怖で震えた。
polish,～を磨く,He polished his shoes.,彼は靴を磨いた。
attend,～に出席する，通う,I attended the meeting.,私は会議に出席した。
attend,（to ～）（～に）注意を向ける,Please attend to the details.,詳細に注意を向けてください。
attend,（to ～）（～を）世話する,She attended to the patient.,彼女は患者の世話をした。
imitate,～をまねる,Children imitate adults.,子どもは大人をまねる。
conduct,～を行う,They conducted an experiment.,彼らは実験を行った。
conduct,（電気，熱）を伝える,Metal conducts electricity.,金属は電気を伝える。
conduct,行為,His conduct was polite.,彼の行為は礼儀正しかった。
struggle,苦闘する，もがく,They struggled to survive.,彼らは生き残るために苦闘した。
struggle,苦闘，もがくこと〈可算〉,He struggled to finish the work.,彼はその仕事を終えるために苦闘した。
burn,焼ける,The paper began to burn.,その紙は燃え始めた。
burn,～を燃やす,She burned the old letters.,彼女は古い手紙を燃やした。
cheat,ごまかす,He cheated on the test.,彼はテストでごまかした。
cheat,～をだます,The man cheated me.,その男は私をだました。
participate,（in ～）（～に）参加する,I participated in the event.,私はそのイベントに参加した。
exist,存在する,Do ghosts exist?,幽霊は存在するのか。
arise,生じる,Problems may arise.,問題が生じるかもしれない。
occur,生じる,The accident occurred yesterday.,その事故は昨日起こった。
occur,（to （人））（考えなどが（人）に）思いつく,An idea occurred to me.,ある考えが私に浮かんだ。
involve,（be ―d in ～）（事件などに）巻き込まれる,He was involved in the accident.,彼はその事故に巻き込まれた。
involve,（be ―d in ～）（子育てなどに）参加する,She is involved in child care.,彼女は子育てに関わっている。
involve,～を伴う,The job involves traveling.,その仕事は旅行を伴う。
require,～を必要とする,This job requires experience.,この仕事は経験を必要とする。
counterpart,（to ～）（～に）対応する［（～と）同等の］人［物，事］,He met his American counterpart.,彼はアメリカ側の同等の人物に会った。
advent,到来,The advent of technology changed society.,技術の到来は社会を変えた。
advent,（the A―）キリストの降臨,The Advent is important in Christianity.,キリストの降臨はキリスト教で重要である。
maintain,～を維持する,We maintain high quality.,私たちは高品質を維持する。
maintain,（that SV）（～）を（強く）主張する,He maintained that he was right.,彼は自分が正しいと主張した。
last,（時間的に）続く,The meeting lasted two hours.,会議は2時間続いた。
last,（服などが）長持ちする  （the last ～）,This bag will last long.,このバッグは長持ちする。
last,この前の～，最後の～,I saw him last week.,私は先週彼に会った。
last,もっとも～でない,He is the last person to lie.,彼は最も嘘をつきそうにない人だ。
last,（at ―）ついに,"At last, we succeeded.",ついに私たちは成功した。
persist,持続する，残る,The problem persisted for years.,その問題は何年も続いた。
persist,（in［with］～）（～を）貫く，（～に）固執する,She persisted in her opinion.,彼女は自分の意見を貫いた。
examine,～を調査する,The police examined the evidence.,警察は証拠を調査した。
examine,～を検査する,The doctor examined the patient.,医者は患者を検査した。
gain,～を増す,He gained confidence.,彼は自信を増した。
gain,～を得る,She gained experience.,彼女は経験を得た。
gain,利益，増加,The company made a gain.,その会社は利益を得た。
obtain,（資格，許可，情報など）を得る,He obtained permission.,彼は許可を得た。
acquire,～を習得する,She acquired a new skill.,彼女は新しい技能を習得した。
acquire,～を獲得する,He acquired knowledge.,彼は知識を獲得した。
acquire,～を買収する,The company acquired another firm.,その会社は別の企業を買収した。
search,（A for B)（B（物）を求めてA（場所））を捜す,They searched the room for clues.,彼らは手がかりを求めて部屋を捜した。
search,捜索，調査,The search continued all day.,捜索は一日中続いた。
logical,論理的な,His explanation was logical.,彼の説明は論理的だった。
scholarship,奨学金〈可算〉,She received a scholarship.,彼女は奨学金を受け取った。
scholarship,学問、（人文科学の）学識〈不可算〉,He is known for his scholarship.,彼は学識で知られている。
instruction,（通例―s）指示,Follow the instructions carefully.,指示に注意深く従いなさい。
determine,～を決める，～に大きく影響する,The result determined his future.,その結果が彼の未来を決めた。
determine,（be ―d to do）～することを決意している,She is determined to win.,彼女は勝つ決意をしている。
determine,（原因など）を特定する,Scientists determined the cause.,科学者たちは原因を特定した。
conclude,①（that SV）～と結論を下す,They concluded that he was right.,彼らは彼が正しいと結論づけた。
distinguish,～を区別する,I can't distinguish the two.,私はその2つを区別できない。
classify,～を分類する,Animals are classified into groups.,動物はグループに分類される。
estimate,～を推定する，見積もる,We estimated the cost.,私たちは費用を見積もった。
estimate,（for ～）（～の）見積もり,I got an estimate for repairs.,修理の見積もりをもらった。
organize,（考えなど）をまとめる,She organized her thoughts.,彼女は考えをまとめた。
